'BOUT	B AW T
KOZIOL	K AA Z IY AO L
KOZLIK	K AA Z L IH K
KOZLOFF	K AA Z L AO F
KOZLOSKI	K AH Z L AW S K IY
KOZLOW	K AA Z L OW
KOZLOWSKI	K AH Z L AO F S K IY
KOZMA	K OW Z M AH
KOZMINSKI	K AH Z M IH N S K IY
KOZNOVSKY	K AA Z N AA F S K IY
KOZNOVSKY'S	K AA Z N AA F S K IY Z
KOZO	K OW Z OW
KOZOL	K OW Z AH L
KOZUCH	K AA Z AH HH
KOZYREV'S	K AA Z ER EH V Z
KRAAI	K R AA IY
KRABBE	K R AE B
KRABILL	K R AE B AH L
KRACH	K R AE CH
KRACHT	K R AE K T
KRACK	K R AE K
KRACKE	K R AE K
KRAEGER	K R EH G ER
KRAEUTLER	K R AW T L ER
KRAFT'S	K R AE F T S
KRAFTWERK	K R AE F T W ER K
KRAGE	K R EY JH
KRAGER	K R EY G ER
KRAGH	K R AE G
KRAGT	K R AE G T
KRAH	K R AA
KRAHENBUHL	K R AA IH N B AH L
KRAHL	K R AA L
KRAHN	K R AE N
KRAIN	K R EY N
KRAJEWSKI	K R AY EH F S K IY
KRAJICEK	K R AY IH CH EH K
KRAJINA	K R AY N AH
KRAJINA(1)	K R AY IY N AH
KRAJINA'S	K R AY N AH Z
KRAJINA'S(1)	K R AY IY N AH Z
KRAKOW	K R AA K AW
KRAKOWSKI	K R AH K AO F S K IY
KRAL	K R AE L
KRALICEK	K R AA L IH CH EH K
KRALIK	K R AA L IH K
KRALL	K R AO L
KRAM	K R AE M
KRAMAR	K R AE M ER
KRAMER	K R EY M ER
KRAMLICH	K R AE M L IH K
KRAMME	K R AE M
KRAMMER	K R AE M ER
KRAMMES	K R AE M Z
KRAMP	K R AE M P
KRAMPE	K R AE M P
KRANDALL	K R AE N D AH L
KRANE	K R EY N
KRANER	K R EY N ER
KRANICH	K R AE N IH CH
KRANTZ	K R AE N T S
KRANZ	K R AE N Z
KRANZLER	K R AE N Z L ER
KRAPF	K R AE P F
KRAPRAYOON	K R AE P R AA Y UW N
KRAS	K R AE S
KRASKA	K R AA S K AH
KRASNER	K R AE S N ER
KRASNOFF	K R AE S N AO F
KRASNOW	K R AA S N OW
KRASNOYARSK	K R AE S N AO Y AA R S K
KRASS	K R AE S
KRASZEWSKI	K R AH SH EH F S K IY
KRAT	K R AE T
KRATKY	K R AE T K IY
KRATOCHVIL	K R AE T AH K V AH L
KRATT	K R AE T
KRATZ	K R AE T S
KRATZKE	K R AE T S K IY
KRAUER	K R AW R
KRAUSE	K R AO S
KRAUSER	K R AW S ER
KRAUSHAAR	K R AW SH AA R
KRAUSKOPF	K R AW S K AO F
KRAUSS	K R AW S
KRAUSSE	K R AO S
KRAUSZ	K R AW SH
KRAUTER	K R AW T ER
KRAUTH	K R AO TH
KRAUTHAMMER	K R AW T HH AE M ER
KRAUZE	K R AW Z
KRAVCHUK	K R AA V CH UH K
KRAVCHUK'S	K R AA V CH UH K Z
KRAVETZ	K R AE V IH T S
KRAVIS	K R AE V IH S
KRAVITZ	K R AE V IH T S
KRAWCHUK	K R AO CH AH K
KRAWCZAK	K R AA V CH AE K
KRAWCZYK	K R AA V CH IH K
KRAWIEC	K R AA V IY K
KRAWITZ	K R AA W IH T S
KRAY	K R EY
KRAYNAK	K R EY N AH K
KREAGER	K R IY G ER
KREAMER	K R IY M ER
KREBBS	K R EH B Z
KREBS	K R EH B Z
KREBS'S	K R EH B Z IH Z
KREBSBACH	K R EH B Z B AA K
KRECH	K R EH K
KREDIETBANK	K R EH D IY T B AE NG K
KREDIT	K R EH T IH T
KREDITANSTALT	K R EH D IH T AH N S T AO L T
KREEGER	K R IY G ER
KREFT	K R EH F T
KREGER	K R IY G ER
KREH	K R EH
KREHER	K R EH R
KREICHER	K R AY K ER
KREIDER	K R AY D ER
KREIDLER	K R AY D AH L ER
KREIFELS	K R AY F AH L Z
KREIG	K R IY G
KREIGER	K R AY G ER
KREILING	K R AY L IH NG
KREIMER	K R AY M ER
KREIN	K R EY N
KREINER	K R AY N ER
KREIS	K R IY Z
KREISBERG	K R AY S B ER G
KREISCHER	K R AY SH ER
KREISEL	K R AY S AH L
KREISER	K R AY S ER
KREISHER	K R IY IH SH ER
KREISMAN	K R AY S M AH N
KREITER	K R AY T ER
KREITMAN	K R AY T M AH N
KREITNER	K R AY T N ER
KREITZ	K R IY T S
KREITZBERG	K R AY T S B ER G
KREITZER	K R AY T Z ER
KREJCI	K R EH JH S IY
KREMER	K R IY M ER
KREMERS	K R IY M ER Z
KREMLIN'S	K R EH M L IH N Z
KREMLINOLOGIST	K R EH M L IH N AA L AH JH IH S T
KREMPA	K R EH M P AH
KREMPASKY	K R IH M P AA S K IY
KREMPLERS	K R EH M P L ER Z
KRENEK	K R EH N IH K
KRENGEL	K R EH NG G AH L
KRENIK	K R EH N IH K
KRENKE	K R EH NG K
KRENN	K R EH N
KRENTZ	K R EH N T S
KRENWINKLE	K R EH N W IH NG K AH L
KRENWINKLE'S	K R EH N W IH NG K AH L Z
KRENZ	K R EH N Z
KRENZER	K R EH N Z ER
KREPPS	K R EH P S
KREPS	K R EH P S
KRESA	K R IY S ER
KRESGE	K R EH S G IY
KRESLOVSKY	K R EH S L AO V S K IY
KRESS	K R EH S
KRESSE	K R EH S
KRESSER	K R EH S ER
KRESSIN	K R EH S IH N
KRESSLER	K R EH S L ER
KRETCHMER	K R EH CH M ER
KRETSCH	K R EH CH
KRETSCHMAR	K R EH CH M ER
KRETSCHMER	K R EH CH M ER
KRETZSCHMAR	K R EH CH M ER
KREUGER	K R OY G ER
KREUL	K R UW L
KREUSER	K R OY S ER
KREUTER	K R OY T ER
KREUTZ	K R UW T S
KREUZER	K R UW Z ER
KREWSON	K R UW S AH N
KREY	K R EY
KRIBS	K R IH B Z
KRICK	K R IH K
KRIDER	K R AY D ER
KRIDLER	K R IH D L ER
KRIEBEL	K R IY B AH L
KRIEG	K R IY G
KRIEGEL	K R IY G AH L
KRIEGER	K R IY G ER
KRIENKE	K R IY NG K
KRIESE	K R IY Z
KRIETE	K R IY T
KRIGBAUM	K R IH G B AW M
KRIGER	K R AY G ER
KRIGSTEN	K R IH G S T IH N
KRIKALEV	K R IH K AH L EH V
KRIKALEV'S	K R IH K AH L EH V Z
KRIKORIAN	K R IH K AO R IY AH N
KRIM	K R IH M
KRIMMEL	K R IH M AH L
KRINER	K R AY N ER
KRING	K R IH NG
KRINGEN	K R IH NG AH N
KRINGLEY	K R IH NG G L IY
KRINGS	K R IH NG Z
KRINKE	K R IH NG K
KRISCHER	K R IH SH ER
KRISE	K R AY Z
KRISHER	K R IH SH ER
KRISHNA	K R IH SH N AH
KRISHNA(1)	K R IY SH N AH
KRISPIES	K R IH S P IY Z
KRISS	K R IH S
KRISTA	K R IH S T AH
KRISTALL	K R IH S T AH L
KRISTEN	K R IH S T AH N
KRISTENSEN	K R IH S T AH N S AH N
KRISTI'S	K R IH S T IY Z
KRISTIANSEN	K R IH S CH AH N S AH N
KRISTIE	K R IH S T IY
KRISTIN	K R IH S T IH N
KRISTINA	K R IH S T IY N AH
KRISTINE	K R IH S T IY N
KRISTOFF	K R IH S T AO F
KRISTOFFERSON	K R IH S T AO F ER S AH N
KRISTOL	K R IH S T AH L
KRISTOL'S	K R IH S T AH L Z
KRISTOPHER	K R IH S T AH F ER
KRISTOPHER'S	K R IH S T AH F ER Z
KRITZ	K R IH T S
KRITZER	K R IH T Z ER
KRIVANEK	K R IH V AH N IH K
KRIZ	K R IH Z
KRIZAN	K R IH Z AH N
KRIZEK	K R IH Z EH K
KROB	K R AA B
KROBOTH	K R AA B AH TH
KROC	K R AA K
KROEBER	K R OW B ER
KROEGER	K R OW G ER
KROEGER'S	K R OW G ER Z
KROEGERS	K R OW G ER Z
KROEKER	K R OW K ER
KROENER	K R OW N ER
KROENING	K R AA AH N IH NG
KROENKE	K R OW NG K
KROES	K R OW Z
KROEZE	K R OW Z
KROFT	K R AA F T
KROGER	K R OW G ER
KROGER'S	K R OW G ER Z
KROGH	K R OW
KROGMAN	K R AA G M AH N
KROGSTAD	K R AA G S T AH D
KROH	K R OW
KROHN	K R OW N
KROK	K R AA K
KROL	K R AO L
KROLAK	K R OW L AH K
KROLCZYK	K R OW L CH IH K
KROLICK	K R AA L IH K
KROLIKOWSKI	K R AH L IH K AO F S K IY
KROM	K R AA M
KROME	K R OW M
KROMER	K R OW M ER
KROMM	K R AA M
KRONBERG	K R AA N B ER G
KRONEN	K R OW N AH N
KRONENBERG	K R AA N AH N B ER G
KRONER	K R OW N ER
KRONICK	K R AA N IH K
KRONISH	K R AA N IH SH
KRONK	K R AA NG K
KRONOR	K R OW N ER
KRONOS	K R OW N OW S
KROON	K R UW N
KROPP	K R AA P
KROSSEL	K R AO S AH L
KROTKOV	K R AO T K AO V
KROTZ	K R AA T S
KROTZER	K R OW T Z ER
KROUPA	K R UW P AH
KROUSE	K R AW S
KROUT	K R AW T
KROWE	K R OW
KROWITZ	K R AW IH T S
KROY	K R OY
KRUCK	K R AH K
KRUCKEBERG	K R AH K B ER G
KRUCKENBERG	K R AH K AH N B ER G
KRUCZEK	K R AH CH EH K
KRUDMAN	K R AH D M AH N
KRUDMAN'S	K R AH D M AH N Z
KRUEGER	K R UW G ER
KRUER	K R UW ER
KRUG	K R AH G
KRUGERRAND	K R UW G EH R AE N D
KRUK	K R AH K
KRUKOWSKI	K R AH K AO F S K IY
KRUL	K R AH L
KRULL	K R AH L
KRULWICH	K R AH L W IH CH
KRUM	K R AH M
KRUMHOLZ	K R AH M HH OW L Z
KRUMM	K R AH M
KRUMME	K R AH M
KRUMMEL	K R AH M AH L
KRUMMEL'S	K R AH M AH L Z
KRUMREY	K R AH M R IY
KRUMWIEDE	K R AH M W IY D
KRUPICKA	K R UW P IH K AH
KRUPINSKI	K R AH P IH N S K IY
KRUPMAN	K R AH P M AH N
KRUPNICK	K R AH P N IH K
KRUPP'S	K R AH P S
KRUPPA	K R AH P AH
KRUPSKI	K R AH P S K IY
KRUS	K R AH S
KRUSCHEV	K R UW S CH EH V
KRUSCHKE	K R AH SH K
KRUSE	K R UW Z
KRUSEMARK	K R AH S IH M AA R K
KRUSINSKI	K R AH S IH N S K IY
KRUSZKA	K R AH SH K AH
KRUSZYNSKI	K R AH SH IH N S K IY
KRUTICK	K R UW T IH K
KRUTTSCHNITT	K R AH CH N IH T
KRUTZ	K R AH T S
KRUZEL	K R UW Z AH L
KRYCH	K R IH CH
KRYGER	K R AY G ER
KRYGIER	K R AY G IY ER
KRYPTONITE	K R IH P T OW N AY T
KRYSIAK	K R IH S IY AE K
KRYSTAL	K R IH S T AH L
KRZEMINSKI	K R IH M IH N S K IY
KRZYSZTOF	K R IY S T AO F
KRZYSZTOF(1)	K R IY SH T AO F
KRZYWICKI	K R IH V IH T S K IY
KRZYZANOWSKI	K R IH Z AH N AO F S K IY
KSIAZEK	K S Y AA Z EH K
KU	K UW
KUALA	K W AA L AH
KUAN	K W AA N
KUBACKI	K AH B AA T S K IY
KUBALA	K AH B AA L AH
KUBALA(1)	K UW B AA L AH
KUBAS	K UW B AH Z
KUBAT	K UW B AH T
KUBE	K Y UW B
KUBENA	K AH B IY N AH
KUBERSKI	K UW B ER S K IY
KUBES	K UW B EH S
KUBIAK	K UW B IY AE K
KUBIC	K Y UW B IH K
KUBICA	K Y UW B IH K AH
KUBICEK	K AH B IH CH EH K
KUBICK	K Y UW B IH K
KUBIK	K Y UW B IH K
KUBIN	K Y UW B IH N
KUBINSKI	K AH B IH N S K IY
KUBIS	K UW B IH S
KUBITZ	K Y UW B IH T S
KUBLER	K Y UW B AH L ER
KUBLER(1)	K Y UW B L ER
KUBO	K Y UW B OW
KUBOTA	K UW B OW T AH
KUBRICK	K Y UW B R IH K
KUBY	K Y UW B IY
KUCAN	K Y UW K AH N
KUCERA	K AH CH IH R AH
KUCEWICZ	K Y UW S IH W IH T S
KUCH	K AH CH
KUCHAR	K AH K ER
KUCHARSKI	K AH CH AA R S K IY
KUCHENBECKER	K AH K IH N B EH K ER
KUCHER	K AH K ER
KUCHERA	K AH CH ER AH
KUCHINSKI	K AH CH IH N S K IY
KUCHINSKY	K AH CH IH N S K IY
KUCHLER	K AH K AH L ER
KUCHLER(1)	K AH K L ER
KUCHMA'S	K UW CH M AH Z
KUCINSKI	K AH CH IH N S K IY
KUCK	K AH K
KUDLOW	K AH D L OW
KUDRNA	K AH D ER N AH
KUEBLER	K UH B AH L ER
KUEBLER(1)	K UH B L ER
KUECHLER(1)	K UH K L ER
KUECK	K UW K
KUECKER	K UH K ER
KUEHL	K UH L
KUEHN	K UW N
KUEHNER	K UH N ER
KUEKER	K UH K ER
KUENNEN	K UH N AH N
KUENZEL	K UH N Z AH L
KUENZI	K UW EY N Z IY
KUENZLI	K UH N Z L IY
KUESTER	K UH S T ER
KUETHER	K UH DH ER
KUFAHL	K AH F AA L
KUFFEL	K AH F AH L
KUFFNER	K AH F N ER
KUGEL	K UW G AH L
KUGELMAN	K AH G AH L M AH N
KUGLER	K UW G AH L ER
KUHAR	K UW ER
KUHL	K AH L
KUHLE	K UW AH L
KUHLENSCHMIDT	K Y UW L AH N SH M IH T
KUHLMAN	K UW L M AH N
KUHLMANN	K UW L M AH N
KUHN	K UW N
KUHNE	K AH N
KUHNER	K UW N ER
KUHNERT	K UW N ER T
KUHNS	K UW N Z
KUHR	K ER
KUHRT	K ER T
KUIPER	K UW P ER
KUIPERS	K UW P ER Z
KUJALA	K AH Y AA L AH
KUJAWSKI	K AH Y AA F S K IY
KUK	K AH K
KUKJE	K UW K Y IH
KUKJE(1)	K UW K JH EY
KUKLINSKI	K AH K L IH N S K IY
KUKOWSKI	K AH K AO F S K IY
KUKUK	K UW K AH K
KULAGA	K UW L AA G AH
KULAKOWSKI	K Y UW L AH K AO F S K IY
KULAS	K Y UW L AH Z
KULESA	K Y UW L IY S AH
KULESZA	K Y UW L EH SH AH
KULHANEK	K AH L HH AH N EH K
KULICH	K Y UW L IH K
KULICK	K Y UW L IH K
KULIG	K Y UW L IH G
KULIGOWSKI	K Y UW L IH G AO F S K IY
KULIKOWSKI	K Y UW L IH K AO F S K IY
KULINSKI	K Y UW L IH N S K IY
KULIS	K UW L IH S
KULISH	K Y UW L IH SH
KULKARNI	K AH L K AA R N IY
KULL	K AH L
KULLA	K AH L AH
KULLMAN	K AH L M AH N
KULLY	K AH L IY
KULOW	K Y UW L OW
KULWICKI	K AH L V IH T S K IY
KUMAGAI	K UW M AA G AA IY
KUMAR	K UW M AA R
KUMARATUNGA	K UW M AA R AH T AH N G AH
KUMARISAMI	K UW M AA R AH S AA M IY
KUMBAYA	K UH M B AY Y AH
KUMBLE	K AH M B AH L
KUME	K Y UW M
KUMLER	K AH M L ER
KUMM	K AH M
KUMMER	K AH M ER
KUMOURI'S	K UW M AO R IY Z
KUMP	K AH M P
KUMPF	K AH M P F
KUN	K AH N
KUNA	K Y UW N AH
KUNAEV	K Y UW N EY V
KUNATH	K AH N AH TH
KUNAYEV	K Y UW N EY AH V
KUNDA	K AH N D AH
KUNDE	K AH N D
KUNDERT	K AH N D ER T
KUNDRAT	K AH N D R AH T
KUNDUN	K UH N D AH N
KUNERT	K Y UW N ER T
KUNES	K Y UW N Z
KUNESH	K AH N IH SH
KUNEY	K Y UW N IY
KUNG	K AH NG
KUNIN	K Y UW N IH N
KUNIO	K Y UW N IY OW
KUNKA	K AH NG K AH
KUNKEL	K AH NG K AH L
KUNKLE	K AH NG K AH L
KUNKLER	K AH NG K L ER
KUNS	K AH N Z
KUNSMAN	K AH N S M AH N
KUNSTLER	K AH N S T L ER
KUNTSLER	K AH N T S L ER
KUNTZ	K AH N T S
KUNTZE	K AH N T Z
KUNTZMAN	K AH N T S M AH N
KUNZ	K AH N Z
KUNZELMAN	K AH N Z AH L M AH N
KUNZLER	K AH N Z L ER
KUOMINTANG	K W OW M IH N T AE NG
KUOMINTANG(1)	G W OW M IH N T AE NG
KUOMINTANG'S	K W OW M IH N T AE NG Z
KUOMINTANG'S(1)	G W OW M IH N T AE NG Z
KUOW	K Y UW OW
KUPEK	K UW P IH K
KUPER	K Y UW P ER
KUPERMAN	K UW P ER M AH N
KUPFER	K AH P F ER
KUPFERMAN	K AH P F ER M AH N
KUPIEC	K AH P IY K
KUPKA	K AH P K AH
KUPOR	K Y UW P ER
KUPPER	K AH P ER
KUPRES	K UW P R AH S
KURALT	K Y ER AO L T
KURALT'S	K Y ER AO L T S
KURAMOTO	K UH R AA M OW T OW
KURANARI	K UH R AH N AA R IY
KURAS	K UH R AH Z
KURD	K ER D
KURDS	K ER D Z
KURDZIEL	K ER D Z IY L
KUREK	K Y UW R EH K
KURIANSKY	K UH R IY AE N S K IY
KURIHARA	K UW R IH HH AA R AH
KURIL	K ER AH L
KURILLA	K ER IH L AH
KURINSKY	K Y UW R IH N S K IY
KURIYAMA	K UW R IH Y AA M AH
KURK	K ER K
KURKA	K ER K AH
KURKJIAN	K ER K JH IY AH N
KURKOWSKI	K ER K AO F S K IY
KURLAK	K ER L AE K
KURLAND	K ER L AH N D
KURLANDER	K ER L AH N D ER
KURMEL	K ER M AH L
KURNIT	K ER N IH T
KURODA	K ER OW D AH
KUROWSKI	K ER AO F S K IY
KURSHIKOV	K ER SH IH K AO V
KURT	K ER T
KURTENBACH	K ER T IH N B AA K
KURTH	K ER TH
KURTIS	K ER T IH S
KURTZ	K ER T S
KURTZMAN	K ER T S M AH N
KURUMAN	K Y UH R UW M AH N
KURUMIZOWA	K UH R UW M IY Z OW AH
KURUMIZOWA'S	K UH R UW M IY Z OW AH Z
KURZ	K ER Z
KURZAWA	K UH R Z AA W AH
KURZWEIL	K ER Z W AY L
KUS	K AH S
KUSA(1)	K UW S AH
KUSCH	K AH SH
KUSE	K Y UW Z
KUSEL	K UW S AH L
KUSHNER	K AH SH N ER
KUSIAK	K AH S IY AE K
KUSKE	K AH S K
KUSS	K AH S
KUSSEROW	K AH S ER OW
KUSSMAN	K AH S M AH N
KUSTER	K AH S T ER
KUSTRA	K AH S T R AH
KUTCH	K AH CH
KUTCHNA	K AH CH N AH
KUTER	K Y UW T ER
KUTNER	K AH T N ER
KUTSCH	K AH CH
KUTTAB	K UW T AE B
KUTTER	K AH T ER
KUTUZOVSKY	K UW T AH Z AA V S K IY
KUTZ	K AH T S
KUTZER	K AH T Z ER
KUVIN	K UW V IH N
KUWAHARA	K UW W AA HH AA R AH
KUWAIT	K UW W EY T
KUWAIT'S	K UW W EY T S
KUWAITI	K UW W EY T IY
KUWAM	K Y UW W AA M
KUYKENDALL	K AY K EH N D AA L
KUYPER	K AY P ER
KUZARA	K Y UW Z AA R AH
KUZEL	K UW Z AH L
KUZMINSKI	K AH Z M IH N S K IY
KUZNETS	K AH Z N EH T S
KUZNIAR	K AH Z N Y ER
KUZNICKI	K AH Z N IH T S K IY
KVAMME(1)	K V AA M EY
KVASNICKA	K V AH S N IH S K AH
KWAI	K W AY
KWAK	K W AE K
KWAN	K W AA N
KWANG	K W AA NG
KWANGJU	K W AA NG JH UW
KWANGJU(1)	G W AA NG JH UW
KWANZAA	K W AA N Z AH
KWASNIEWSKI	K W AH Z N EH F S K IY
KWASNIEWSKI(1)	K W AH Z N UW S K IY
KWASNIK	K W AA Z N IH K
KWASNY	K W AA Z N IY
KWAZULU	K W AA Z UW L UW
KWEISI	K W AY Z IY
KWIATEK	K W IY AA T EH K
KWIECIEN	K W IY S IY N
KWIK	K W IH K
KWITNY	K W IH T N IY
KWOK	K W AA K
KWOK-SHING	K W AO K SH IH NG
KWON	K W AA N
KWONG	K W AO NG
KYD	K IH D
KYD'S	K IH D Z
KYER	K AY ER
KYES	K AY Z
KYI	K IY
KYI(1)	K EY W AY AY
KYL	K AY L
KYLE'S	K AY L Z
KYLER	K AY L ER
KYLES	K AY L Z
KYLIE	K AY L IY
KYLLONEN	K IH L AA N AH N
KYNA	K IH N AH
KYNARD	K IH N ER D
KYNE	K AY N
KYNIKOS	K IH N IY K OW S
KYO	K Y OW
KYOCERA	K Y OW S EH R AH
KYODO	K Y OW D OW
KYOKO	K IY OW K OW
KYOKUTO	K Y AA K UW T OW
KYONG	K Y AO NG
KYONGSANG	K Y AO NG S AE NG
KYOTO	K Y OW T OW
KYOUNG	K Y AO NG
KYOUNG-MIN	K Y AO NG M IH N
KYOWA	K Y OW AH
KYRA	K AY R AH
KYRGYZSTAN	K IH R G IH S T AE N
KYSAR	K IH S ER
KYSER	K AY S ER
KYSOR	K AY S ER
KYTE	K AY T
KYTRIL	K IH T R IH L
KYUNG	K Y AH NG
KYZAR	K IH Z ER
KYZER	K AY Z ER
L'ALMA	L AA L M AH
L'EGGS	L EH G Z
L'ENFANT	L EH N F AA N T
L'ENFANT(1)	L AA N F AA N T
L'ESPALIER	L EH S P AE L IY EY
L'EXPANSION	L EH K S P AE N SH AH N
L'HEUREUX	L HH Y UW R UH
L'OREAL	L AO R IY AE L
L'S	 EH L Z
L.'S	 EH L Z
L.S	 EH L Z
LAABS	L AA B Z
LAACK	L AA K
LAAKE	L AA K
LAAKSO	L AA K S OW
LAAS	L AA Z
LAATSCH	L AA CH
LAB'S	L AE B Z
LABA	L AA B AH
LABADIE	L AE B AH D IY
LABAN	L EY B AH N
LABAND	L AA B AE N D
LABANT	L AH B AE N T
LABAR	L AH B AA R
LABARBERA	L AA B AA R B EH R AH
LABARGE	L AE B AA R JH
LABARR	L AH B AE R
LABARRE	L AA B AA R EY
LABAT	L AA B AA T
LABATE	L AA B EY T
LABATT'S	L AH B AE T S
LABAUVE	L AH B OW V
LABBE	L AE B
LABE	L EY B
LABEAU	L AH B OW
LABEL'S	L EY B AH L Z
LABELED	L EY B AH L D
LABELING(1)	L EY B L IH NG
LABELL	L AH B EH L
LABELLE	L AH B EH L
LABELS	L EY B AH L Z
LABENSKI	L AA B EH N S K IY
LABER	L EY B ER
LABERGE	L AA B ER G
LABINE	L AA B IY N IY
LABLANC	L AH B L AE NG K
LABO	L AA B OW
LABOMBARD	L AE B AH M B ER D
LABONTE	L AH B AA N T
LABONTE(1)	L AH B AA N T IY
LABOR'S	L EY B ER Z
LABORATOIRES	L AH B AO R AH T W AA Z
LABORATORIES	L AE B R AH T AO R IY Z
LABORATORY'S	L AE B R AH T AO R IY Z
LABORE	L AH B AO R
LABORERS	L EY B ER ER Z
LABOUISSE	L AA B UW S
LABOUNTY	L AH B AW N T IY
LABOV	L AH B AH V
LABOVE	L AH B AH V
LABOW	L AE B OW
LABRADOR	L AE B R AH D AO R
LABRAKE	L AE B R AH K
LABRANCHE	L AA B R AA N K IY
LABRECK	L AE B R IH K
LABRECQUE	L AH B R EH K
LABREE	L AH B R IY
LABRIE	L AE B ER IY
LABRIOCHE	L AA B R IY OW SH
LABRIOLA	L AA B R IY OW L AH
LABROSSE	L AA B R OW S IY
LABS	L AE B Z
LABS'	L AE B Z
LABUDA	L AH B Y UW D AH
LABUS	L AE B IH S
LACANA	L AA K AE N AH
LACAVA	L AA K AA V AH
LACAZE	L AA K AA Z IY
LACCOLITHS	L AE K AH L IH TH S
LACER	L EY S ER
LACERATIONS	L AE S ER EY SH AH N Z
LACES	L EY S AH Z
LACEWELL	L EY S W EH L
LACH	L AE CH
LACHANCE	L AA CH AH N S
LACHAPELLE	L AE SH AH P AH L
LACHARITE	L AE CH ER AY T
LACHE	L AE CH
LACHENBRUCH	L AE K AH N B R UW K
LACHER	L AE K ER
LACHICA	L AE CH IH K AH
LACHLAN	L AE K L AH N
LACHMAN	L AE K M AH N
LACHMAR	L AE K M AA R
LACHOWICZ	L AA HH AH V IH CH
LACINA	L AA CH IY N AH
LACIVITA	L AA CH IY V IY T AH
LACKAWANNA	L AE K AH W AA N AH
LACKED	L AE K T
LACKEYS	L AE K IY Z
LACKIE	L AE K IY
LACKING	L AE K IH NG
LACKMAN	L AE K M AH N
LACKNER	L AE K N ER
LACKO	L AE K OW
LACKOVIC	L AE K AH V IH K
LACKSADAISCIOUS	L AE K S AH D EY S IY AH S
LACLAIR	L AE K L ER
LACOCK	L AE K AH K
LACOMB	L AE K AH M
LACOMBE	L AA K OW M B IY
LACONTE	L AA K OW N T IY
LACORTE	L AA K AO R T IY
LACOSS	L AH K AA S
LACOSSE	L AA K OW S IY
LACOUNT	L AH K UW N T
LACOUR	L AH K UH R
LACOURSIERE	L AE K UH R S IY EH R
LACOUTURE	L AE K UW CH ER
LACOVARA	L AA K OW V AA R AH
LACROIX	L AH K R OY
LACTATING	L AE K T EY T IH NG
LACTEALS	L AE K T IY L Z
LADA	L AA D AH
LADAKH	L AA D AH K
LADAS	L AA D AH Z
LADBROKE	L AE D B R OW K
LADD	L AE D
LADD'S	L AE D Z
LADDERS	L AE D ER Z
LADENBURG	L EY D AH N B ER G
LADER	L EY D ER
LADISH	L AA D IH SH
LADLEY	L AE D L IY
LADNER	L AE D N ER
LADOUCEUR	L AE D UW S ER
LADOW	L AE D OW
LADS	L AE D Z
LADUCA	L AA D UW K AH
LADUKE	L AA D UW K EY
LADYBUGS	L EY D IY B AH G Z
LAEVO	L EY V OW
LAFALCE	L AA F AE L S IY
LAFARGE	L AA F AA R JH
LAFATA	L AA F AA T AH
LAFAUCI	L AA F AO CH IY
LAFAVE	L AH F EY V
LAFAVOR	L AE F AH V ER
LAFAVRE	L AH F EY V ER
LAFAYETTE	L AA F IY EH T
LAFAYETTE(1)	L AA F EY EH T
LAFER	L EY F ER
LAFERRIERE	L AE F EH R Y EH R
LAFEVER	L AE F EH V ER
LAFEVERS	L AE F EH V ER Z
LAFEYETTE	L AA F IY EH T
LAFF	L AE F
LAFFER	L AE F ER
LAFFERTY	L AE F ER T IY
LAFFEY	L AE F IY
LAFFIN	L AE F IH N
LAFFITTE	L AA F IH T
LAFFOON	L AA F UW N
LAFITE	L AA F AY T
LAFITTE	L AA F IH T
LAFLAM	L AA F L AE M
LAFLAMME	L AA F L AE M
LAFLER	L EY F AH L ER
LAFLER(1)	L EY F L ER
LAFLEUR	L AA F L ER
LAFLIN	L AE F L IH N
LAFOE	L AA F OW
LAFOLLETTE	L AA F AH L EH T
LAFON	L AE F AH N
LAFOND	L AA F AO N D
LAFONTAINE	L AA F AH N T EY N
LAFONTANT	L AA F AA N T AH N T
LAFOREST	L AA F AO R AH S T
LAFORGE	L AA F AO R G
LAFORTE	L AA F AO R T
LAFORTUNE	L AA F ER T UW N
LAFOSSE	L AA F AA S
LAFOY	L AA F OY
LAFRAMBOISE	L AA F R AE M B W AA
LAFRANCE	L AA F R AE N S
LAFRENZ	L AE F R IH N S
LAFUENTE	L AA F W EH N T EY
LAGACE	L AA G AA CH IY
LAGARDE	L AA G AA R D IY
LAGARDERE	L AA G AA R D IH R
LAGASSE	L AA G AA S IY
LAGATTUTA	L AA G AA T UW T AH
LAGE	L EY JH
LAGERFELD	L AA G ER F EH L D
LAGERFELD(1)	L EY G ER F EH L D
LAGERGREN	L EY G ER G R EH N
LAGERQUIST	L EY G ER K W IH S T
LAGERSTROM	L EY G ER S T R AH M
LAGESSE	L AE G EH S
LAGGARDS	L AE G ER D Z
LAGGED	L AE G D
LAGLE	L EY G AH L
LAGNADO	L AA G N AA D OW
LAGO	L AA G OW
LAGOMARSINO	L AA G OW M AA R S IY N OW
LAGOONS	L AH G UW N Z
LAGOS	L EY G AO S
LAGOW	L AE G OW
LAGRECA	L AA G R EH K AH
LAGROCERIA	L AA G R OW S ER IY AH
LAGRONE	L AA G R OW N IY
LAGROW	L AE G R OW
LAGS	L AE G Z
LAGUARDIA	L AH G W AA R D IY AH
LAGUE	L AA G
LAGUNA	L AH G UW N AH
LAGUNAS	L AH G UW N AH Z
LAHAIE(1)	L AH HH AY
LAHAM	L AE HH AH M
LAHAYE	L AE HH EY
